,uBlue,Blue,Green,Red,Swir1,Nir,Swir2,dt
279,714.0,714.0,904.9012775842044,1030.0,2220.230456394035,2501.0000000000005,1536.6153846153845,2008-07-01
280,564.25,564.25,801.0,881.2883409945675,1889.0,2404.0,1208.4392224409448,2008-08-01
281,504.0,504.0,645.0,746.0,1709.0,2393.0,1045.0,2008-09-01
282,547.0,547.0,713.1,736.0000000000001,1500.0,2215.0,961.7465753424658,2008-10-01
285,521.0,521.0,740.0,651.0,1797.0,2290.0,1155.0,2009-01-01
286,366.0,366.0,545.0,562.0,1533.0,1724.0,979.0,2009-02-01
287,476.0,476.0,697.0,788.0,2057.0,1885.43769470405,1480.3714001986095,2009-03-01
288,482.0,482.0,628.2164685908319,733.0867850098618,1632.0,1294.4999999999998,1244.0555797733218,2009-04-01
289,556.0,556.0,773.2991398534565,833.0000000000001,1850.7175767918088,1621.9395604395604,1448.6216475095787,2009-05-01
290,527.5,527.5,731.1646167362179,754.9050833995234,1920.087044534413,2226.500654450262,1364.3104707792206,2009-06-01
291,454.0,454.0,644.2287234042553,665.7490157480315,1682.053079619429,2175.0,1137.0714285714287,2009-07-01
292,434.0,434.0,598.2179454499108,594.68125,1427.6570275722931,2026.75,929.0,2009-08-01
293,291.0,291.0,388.40550154138015,429.1555510370069,1216.888888888889,1742.756628787879,781.3809760956175,2009-09-01
294,351.5,351.5,437.21130261849515,433.5,1218.2495088408646,1828.9960681520313,711.1591760299626,2009-10-01
295,280.59870466321246,280.59870466321246,358.0,326.0,1144.0,1955.0157494904574,610.0,2009-11-01
296,494.0,494.0,538.3872519542995,632.0,1528.0,1908.618081715445,803.0,2009-12-01
299,444.0,444.0,703.0,604.0,1757.0,2977.4320895522383,940.0,2010-03-01
300,398.1540803897686,398.1540803897686,626.482058226134,469.0,1766.1473136915076,4149.6,863.0,2010-04-01
301,302.0,302.0,570.0,443.0,1570.0,4444.0,756.0,2010-05-01
302,604.4,604.4,923.9999999999999,1092.0,2704.0,2959.499999999999,1671.3333333333333,2010-06-01
303,467.0,467.0,764.9999999999999,897.5,2169.6666666666665,2687.5,1227.5,2010-07-01
304,490.99912701876906,490.99912701876906,739.5,856.6666666666666,2006.5,2848.4166666666665,1128.5,2010-08-01
305,360.3333333333333,360.3333333333333,514.3106312292359,657.0,1865.1,2482.5,988.5167095115681,2010-09-01
306,466.5754352030948,466.5754352030948,597.0,643.0,1799.0,2537.0000000000005,913.0818481848185,2010-10-01
307,232.0,232.0,333.0,454.0,1457.0,2000.0,645.0,2010-11-01
308,10208.5,10208.5,4186.173587474473,4358.0,3451.2095671981774,5072.0,2205.5,2010-12-01
309,447.3274336283186,447.3274336283186,542.0,584.5,2014.049320943531,1773.2487733071637,1191.5,2011-01-01
310,452.44522348816827,452.44522348816827,600.5,641.0,2193.160388821385,2148.0,1362.228723404255,2011-02-01
311,401.0,401.0,528.0,549.0,1719.0,2030.0000000000002,1083.0,2011-03-01
312,563.0,563.0,798.0,720.0,2069.0833333333335,3525.949848024316,1206.730303030303,2011-04-01
313,530.0,530.0,926.0,1014.6381267738882,2175.0,3887.0,1160.9999999999998,2011-05-01
314,490.2278820375334,490.2278820375334,742.9491774383077,807.0346715328467,2266.7113795295613,2516.276707530648,1376.0,2011-06-01
315,421.0,421.0,574.253702920017,638.0,1837.9999999999998,2518.4448398576515,1015.0,2011-07-01
316,350.99999999999994,350.99999999999994,496.0,575.0,1759.0,2447.9999999999995,928.0,2011-08-01
317,392.5,392.5,482.3125,540.3893129770992,1686.477993858751,2598.1548780487806,862.0,2011-09-01
318,321.0833333333333,321.0833333333333,414.5,358.70846958796596,1206.7872564507636,2795.4336917562728,499.06034482758616,2011-10-01
319,464.0,464.0,584.0,657.0,1645.0,3461.0,714.0,2011-11-01
322,344.0,432.0,710.0,669.0,2121.0,3197.516194331984,1368.3333333333333,2013-03-01
323,462.49999999999994,557.5,809.0,954.5,2666.703966005666,2268.75,1954.8333333333333,2013-04-01
324,365.0,471.0,763.0,901.25,2377.0,2683.0,1509.0,2013-05-01
325,365.5,466.0,769.0,854.5,2478.1666666666665,3177.0,1534.5,2013-06-01
